facility_id,common_name,address,city,zip_code,block_lot,owned_leased,dept_id_for_jurisdiction,jurisdiction,gross_sq_ft,longitude,latitude,geom,supervisor_district,city_tenants,land_id
733,Fire Station #8,36 Bluxome St,San Francisco,94107,3786039,Own,38,Fire Department,8000,-122.39671009300002,37.77730564400002,"(37.77730564400002, -122.39671009300002)",6,,312
690,Fire Headquarters,698 02nd St,San Francisco,94107,3788006,Own,38,Fire Department,,-122.39104791599999,37.780549909,"(37.780549909, -122.39104791599999)",6,,311
711,Fire Station #29,299 Vermont St,San Francisco,94103,3935002,Own,38,Fire Department,8300,-122.40429579300002,37.76615647099999,"(37.76615647099999, -122.40429579300002)",10,,343
718,Fire Station #37,798 Wisconsin St,San Francisco,94107,4097024,Own,38,Fire Department,6950,-122.399243851,37.757417782000005,"(37.757417782000005, -122.399243851)",10,,344
275,Bureau of Equipment Headquarters,2501 25th St,San Francisco,94110,4279001,Own,38,Fire Department,7000,-122.40357997000001,37.75174902700002,"(37.75174902700002, -122.40357997000001)",10,,345
708,Fire Station #25,3305 3rd St,San Francisco,94124,4502A002,Own,38,Fire Department,11420,-122.38685250600003,37.74663929799999,"(37.74663929799999, -122.38685250600003)",10,,781
699,Fire Station #17,1295 Shafter Ave,San Francisco,94124,4792018,Own,38,Fire Department,12100,-122.38506673500001,37.72752662099998,"(37.72752662099998, -122.38506673500001)",10,,310
1640,"Fire Station #49, Arson Task Force, BOE",1415 Evans Ave,San Francisco,94124,5236017,Own,38,Fire Department,,-122.38557613400002,37.74087817399999,"(37.74087817399999, -122.38557613400002)",10,,494
150,AWSS Pipeyard (behind 2245 Jerrold),2245 JERROLD AVE,San Francisco,94124,5286A021,Own,38,Fire Department,6400,-122.40164054500002,37.744633410999995,"(37.744633410999995, -122.40164054500002)",10,,1236
734,Fire Station #9,2245 Jerrold Ave,San Francisco,94124,5286A022,Own,38,Fire Department,15000,-122.40123558200003,37.74526234199999,"(37.74526234199999, -122.40123558200003)",10,,309
714,Fire Station #32,194 Park St,San Francisco,94110,5720059,Own,38,Fire Department,10900,-122.42116607000003,37.73632275099999,"(37.73632275099999, -122.42116607000003)",9,,346
725,Fire Station #42,2430 San Bruno Ave,San Francisco,94134,5924004,Own,38,Fire Department,9300,-122.40542499600002,37.73158521200003,"(37.73158521200003, -122.40542499600002)",9,,347
727,Fire Station #44,1298 Girard St,San Francisco,94134,6194010,Own,38,Fire Department,8450,-122.40043363900003,37.71662053599999,"(37.71662053599999, -122.40043363900003)",10,,348
726,Fire Station #43,720 Moscow St,San Francisco,94112,6338024,Own,38,Fire Department,10800,-122.431678707,37.71634867300003,"(37.71634867300003, -122.431678707)",11,,308
693,Fire Station #11,3880 26th St,San Francisco,94131,6551043,Own,38,Fire Department,14000,-122.426485507,37.74878231700001,"(37.74878231700001, -122.426485507)",8,,307
715,Fire Station #33,8 Capitol Ave,San Francisco,94112,7147046,Own,38,Fire Department,5900,-122.45858070100002,37.710859477999975,"(37.710859477999975, -122.45858070100002)",11,,349
701,Fire Station #19,390 Buckingham Way,San Francisco,94132,7296002,Own,38,Fire Department,11500,-122.478902898,37.72781161500001,"(37.72781161500001, -122.478902898)",7,,306
709,Fire Station #26,80 Digby St,San Francisco,94131,7540013,Own,38,Fire Department,15000,-122.433399694,37.74028305799999,"(37.74028305799999, -122.433399694)",8,,305
139,Bureau of Fire Investigation,1275 3rd St,San Francisco,94158,8719007,Own,38,Fire Department,60000,-122.389375556,37.77227140299999,"(37.77227140299999, -122.389375556)",6,,756
1208,Fire Station #4,449 Mission Rock St,San Francisco,94158,8719007,Own,38,Fire Department,,-122.38913875100002,37.77272154899998,"(37.77272154899998, -122.38913875100002)",6,,755
1624,Southern District Station,1251 03rd St,San Francisco,94158,8719007,Own,38,Fire Department,,-122.38905168000002,37.77245002500001,"(37.77245002500001, -122.38905168000002)",6,,755
738,Fire Station #35 - Fireboat Headquarters,Pier 22 1/2,San Francisco,94105,9900022H,Own,38,Fire Department,2500,-122.38844006900001,37.79022102599998,"(37.79022102599998, -122.38844006900001)",6,,369
453,Central Station,766 Vallejo St,San Francisco,94133,0130043,Own,45,Police Department,8000,-122.40986290900003,37.798645319,"(37.798645319, -122.40986290900003)",3,,163
