City-owned_Facilities_-_Fire_and_Police																
facility_id	common_name	address	city	zip_code	block_lot	owned_leased	dept_id_for_jurisdiction	jurisdiction	gross_sq_ft	longitude	latitude	latitidu1	longitude1	supervisor_district	city_tenants	land_id
275	Bureau of Equipment Headquarters	2501 25th St	San Francisco	94110	4279001	Own	38	Fire Department	7000	-122.40358	37.75174903	37.75174903	-122.40358	10		345
708	Fire Station #25	3305 3rd St	San Francisco	94124	4502A002	Own	38	Fire Department	11420	-122.3868525	37.7466393	37.7466393	-122.3868525	10		781
699	Fire Station #17	1295 Shafter Ave	San Francisco	94124	4792018	Own	38	Fire Department	12100	-122.3850667	37.72752662	37.72752662	-122.3850667	10		310
1640	Fire Station #49 Arson Task Force BOE	1415 Evans Ave	San Francisco	94124	5236017	Own	38	Fire Department		-122.3855761	37.74087817	37.74087817	-122.3855761	10		494
150	AWSS Pipeyard (behind 2245 Jerrold)	2245 JERROLD AVE	San Francisco	94124	5286A021	Own	38	Fire Department	6400	-122.4016405	37.74463341	37.74463341	-122.4016405	10		1236
734	Fire Station #9	2245 Jerrold Ave	San Francisco	94124	5286A022	Own	38	Fire Department	15000	-122.4012356	37.74526234	37.74526234	-122.4012356	10		309
714	Fire Station #32	194 Park St	San Francisco	94110	5720059	Own	38	Fire Department	10900	-122.4211661	37.73632275	37.73632275	-122.4211661	9		346
725	Fire Station #42	2430 San Bruno Ave	San Francisco	94134	5924004	Own	38	Fire Department	9300	-122.405425	37.73158521	37.73158521	-122.405425	9		347
727	Fire Station #44	1298 Girard St	San Francisco	94134	6194010	Own	38	Fire Department	8450	-122.4004336	37.71662054	37.71662054	-122.4004336	10		348
726	Fire Station #43	720 Moscow St	San Francisco	94112	6338024	Own	38	Fire Department	10800	-122.4316787	37.71634867	37.71634867	-122.4316787	11		308
693	Fire Station #11	3880 26th St	San Francisco	94131	6551043	Own	38	Fire Department	14000	-122.4264855	37.74878232	37.74878232	-122.4264855	8		307
715	Fire Station #33	8 Capitol Ave	San Francisco	94112	7147046	Own	38	Fire Department	5900	-122.4585807	37.71085948	37.71085948	-122.4585807	11		349
701	Fire Station #19	390 Buckingham Way	San Francisco	94132	7296002	Own	38	Fire Department	11500	-122.4789029	37.72781162	37.72781162	-122.4789029	7		306
709	Fire Station #26	80 Digby St	San Francisco	94131	7540013	Own	38	Fire Department	15000	-122.4333997	37.74028306	37.74028306	-122.4333997	8		305
139	Bureau of Fire Investigation	1275 3rd St	San Francisco	94158	8719007	Own	38	Fire Department	60000	-122.3893756	37.7722714	37.7722714	-122.3893756	6		756
1208	Fire Station #4	449 Mission Rock St	San Francisco	94158	8719007	Own	38	Fire Department		-122.3891388	37.77272155	37.77272155	-122.3891388	6		755
